i,time,loss,similarity
0,0.12019896507263184,2.9743287563323975,0.03210526332259178
10,0.5500450134277344,2.9191107749938965,0.04552631452679634
20,0.9870679378509521,2.8615992069244385,0.40263158082962036
30,1.4230470657348633,2.8003265857696533,0.40473681688308716
40,1.8702919483184814,2.7208404541015625,0.4197368323802948
50,2.320697069168091,2.6170127391815186,0.4586842358112335
60,2.7603158950805664,2.346355676651001,0.28315791487693787
70,3.1983349323272705,2.0423452854156494,0.45105263590812683
80,3.6328980922698975,1.892822027206421,0.44947367906570435
90,4.068257093429565,1.9255194664001465,0.4863157570362091
